GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning
2265.0,218973.13,121.51760603,37.4384527,37.84,279.35,899747.9176322549,4153104.815503804,0.489,-15.756120693336308,1.8,42.0,26.0,2.0
2265.0,218973.25,121.51760538,37.43845279,37.84,279.44,899747.8596046877,4153104.822732546,0.485,-16.423223823487717,1.8,42.0,27.0,2.0
2265.0,218973.41,121.51760452,37.4384529,37.84,279.51,899747.782878164,4153104.831288899,0.486,-16.72350023108327,1.8,42.0,27.0,2.0
2265.0,218973.55,121.51760375,37.43845301,37.84,279.55,899747.7141197659,4153104.8402279783,0.499,-17.040350909493526,1.8,42.0,27.0,2.0
2265.0,218973.7,121.51760295,37.43845313,37.84,279.6,899747.6426519917,4153104.8501498033,0.489,-17.561380991331095,1.8,42.0,26.0,2.0
2265.0,218973.85,121.51760215,37.43845325,37.85,279.64,899747.5711842219,4153104.860071629,0.485,-18.010417176345086,1.8,42.0,26.0,2.0
2265.0,218974.02,121.51760123,37.43845338,37.85,279.69,899747.4890389508,4153104.870593472,0.501,-18.3824052719159,1.8,42.0,26.0,2.0
2265.0,218974.14,121.51760059,37.43845349,37.85,279.71,899747.4317900692,4153104.880085382,0.498,-18.992098784580662,1.8,42.0,26.0,2.0
2265.0,218974.28,121.51759984,37.4384536,37.85,279.73,899747.3648023685,4153104.8891095156,0.499,-19.24227261723389,1.8,42.0,27.0,2.0
2265.0,218974.42,121.51759909,37.43845371,37.85,279.73,899747.297814666,4153104.898133649,0.489,-19.339092572777712,1.8,42.0,27.0,2.0
2265.0,218974.6,121.51759814,37.43845386,37.86,279.73,899747.2129066902,4153104.9107485595,0.482,-19.758644942402366,1.8,42.0,26.0,2.0
2265.0,218974.72,121.51759751,37.43845396,37.86,279.73,899747.15659649,4153104.9191726763,0.485,-20.07345756534093,1.8,42.0,26.0,2.0
2265.0,218974.88,121.51759665,37.43845408,37.86,279.72,899747.0798166355,4153104.9288393557,0.484,-19.97833196628955,1.8,42.0,26.0,2.0
2265.0,218975.01,121.51759595,37.43845418,37.86,279.74,899747.0173090043,4153104.9369657957,0.479,-20.194360776206732,1.8,42.0,26.0,2.0
2265.0,218975.16,121.51759517,37.4384543,37.86,279.73,899746.9476119308,4153104.946972677,0.489,-20.45193600383068,1.8,42.0,26.0,2.0
2265.0,218975.29,121.51759448,37.4384544,37.86,279.74,899746.8859896446,4153104.955141645,0.492,-20.654830747979716,1.8,42.0,26.0,2.0
2265.0,218975.45,121.5175936,37.43845453,37.87,279.74,899746.8073857662,4153104.9658335964,0.483,-20.91205365380725,1.8,42.0,26.0,2.0
2265.0,218975.58,121.51759291,37.43845463,37.87,279.72,899746.7457634828,4153104.9740025657,0.478,-20.905121824496053,1.8,42.0,26.0,2.0
2265.0,218975.72,121.51759216,37.43845476,37.87,279.7,899746.67866912,4153104.985247343,0.473,-21.734499844904583,1.8,42.0,27.0,2.0
2265.0,218975.85,121.51759147,37.43845487,37.87,279.7,899746.6169935039,4153104.994526633,0.474,-22.35666294039178,1.8,42.0,27.0,2.0
2265.0,218976.01,121.51759062,37.438455,37.88,279.65,899746.5410456673,4153105.0053461613,0.482,-22.581222768137803,1.8,42.0,27.0,2.0
2265.0,218976.15,121.51758986,37.43845512,37.88,279.63,899746.4731192915,4153105.0154380966,0.488,-23.220855376844845,1.8,42.0,27.0,2.0
2265.0,218976.3,121.51758906,37.43845525,37.88,279.62,899746.401598193,4153105.0264702514,0.482,-24.272937150554387,1.8,42.0,27.0,2.0
2265.0,218976.43,121.51758836,37.43845535,37.88,279.57,899746.3390905636,4153105.034596697,0.48,-24.272937150554387,1.8,42.0,27.0,2.0
2265.0,218976.61,121.51758741,37.4384555,37.89,279.47,899746.254182592,4153105.0472116196,0.478,-16.542637097714582,1.8,42.0,27.0,2.0
2265.0,218976.75,121.51758664,37.43845562,37.89,279.39,899746.1853708681,4153105.0572610307,0.479,-16.08664348990768,1.8,42.0,26.0,2.0
2265.0,218976.91,121.51758576,37.43845574,37.89,279.3,899746.1068203212,4153105.0668426687,0.494,-15.267756806919524,1.8,42.0,27.0,2.0
2265.0,218977.06,121.51758494,37.43845585,37.9,279.21,899746.0336351916,4153105.0755691365,0.503,-14.415105901072941,1.8,42.0,26.0,2.0
2265.0,218977.22,121.51758404,37.43845597,37.9,279.16,899745.9533139532,4153105.085065726,0.483,-13.845387343576673,1.8,42.0,24.0,2.0
2265.0,218977.36,121.51758329,37.43845607,37.9,279.13,899745.8863795861,4153105.0929795504,0.489,-13.455239537868385,1.8,42.0,24.0,2.0
2265.0,218977.53,121.51758239,37.4384562,37.9,279.1,899745.8060050152,4153105.1035864605,0.483,-13.234700054738434,1.8,42.0,25.0,2.0
2265.0,218977.67,121.51758163,37.43845632,37.91,279.08,899745.7380786396,4153105.1136784027,0.478,-13.31425996244014,1.8,42.0,25.0,2.0
2265.0,218977.83,121.5175809,37.43845642,37.91,279.04,899745.6729149693,4153105.121677278,0.325,-12.896910840259142,1.8,42.0,25.0,2.0
2265.0,218977.96,121.51758056,37.43845647,37.91,279.06,899745.6425465024,4153105.1257830285,0.086,-13.08692540413926,1.8,42.0,25.0,2.0
2265.0,218978.13,121.51758075,37.43845647,37.91,279.02,899745.6593681038,4153105.126591003,0.02,-13.379239963233768,1.8,42.0,25.0,2.0
2265.0,218978.28,121.51758067,37.43845648,37.91,279.06,899745.6522319927,4153105.127361124,0.014,-13.668174957960533,1.8,42.0,25.0,2.0
2265.0,218978.44,121.51758074,37.43845648,37.91,279.05,899745.6584294261,4153105.127658799,0.014,-13.812223093198245,1.8,42.0,24.0,2.0
2265.0,218978.6,121.51758071,37.43845649,37.9,279.06,899745.6557200522,4153105.128641544,0.025,-14.021822898163775,1.8,42.0,24.0,2.0
2265.0,218978.77,121.51758075,37.4384565,37.9,279.05,899745.6592081113,4153105.1299219634,0.014,-14.294503380024738,1.8,42.0,24.0,2.0
2265.0,218978.91,121.51758074,37.4384565,37.9,279.06,899745.6583227643,4153105.129879439,0.019,-14.342682563478933,1.8,42.0,22.0,2.0
2265.0,218979.08,121.51758074,37.4384565,37.9,279.05,899745.6583227643,4153105.129879439,0.011,-14.262784587277462,1.8,42.0,22.0,2.0
2265.0,218979.24,121.51758073,37.43845649,37.9,279.06,899745.6574907481,4153105.128726594,0.017,-14.085559440280953,1.8,42.0,23.0,2.0
2265.0,218979.41,121.51758074,37.4384565,37.9,279.06,899745.6583227643,4153105.129879439,0.007,-14.342682563478933,1.8,42.0,23.0,2.0
2265.0,218979.56,121.51758074,37.43845649,37.9,279.06,899745.6583760951,4153105.128769119,0.006,-14.117389811560951,1.8,42.0,23.0,2.0
2265.0,218979.74,121.51758073,37.4384565,37.9,279.06,899745.6574374174,4153105.1298369137,0.011,-14.310939045645423,1.8,42.0,23.0,2.0
2265.0,218979.89,121.51758072,37.4384565,37.9,279.06,899745.6565520682,4153105.1297943885,0.003,-14.279170352010967,1.8,42.0,23.0,2.0
2265.0,218980.05,121.51758071,37.4384565,37.89,279.06,899745.6556667212,4153105.129751864,0.004,-14.247376667009517,1.8,42.0,23.0,2.0
2265.0,218980.19,121.51758072,37.4384565,37.89,279.06,899745.6565520682,4153105.1297943885,0.005,-14.279170352010967,1.8,42.0,23.0,2.0
